FOOD_CODE,NUTRIENT,QUANTITY
13264,020,1.7
13266,001,0
13266,005,505
13266,008,28
13266,009,505
13266,011,1.7
13266,012,0
13266,013,47
13266,015,0.01
13266,020,0.9
13275,001,0
13275,005,41
13275,008,14
13275,009,47
13275,011,1.6
13275,012,0
13275,013,170
13275,015,0.01
13275,017,5.2
13275,019,0.6
13275,020,0.6
13285,001,0
13285,005,10
13285,008,5
13285,009,10
13285,011,0.4
13285,012,0
13285,013,-88
13285,015,0.4
13285,020,1.1
13304,001,-99
13304,005,1
13304,008,25
13304,009,10
13304,011,7.9
13304,012,0
13304,013,25
13304,015,0.05
13304,020,1.4
13313,001,0
13313,005,0
13313,008,50
13313,009,30
13313,011,12.9
13313,012,0
13313,013,170
13313,015,0.04
13313,020,4.7
13318,001,9
13318,005,260
13318,008,8
13318,009,265
13318,011,2.6
13318,012,0
13318,013,19
13318,015,0.02
13318,020,1.6
13320,001,135
13320,005,3165
13320,008,8
13320,009,3843
13320,011,6.4
13320,012,0
13320,013,24
13320,015,0.01
13320,020,1.6
13344,001,0
13344,005,3820
13344,008,160
13344,009,3840
13344,011,0.8
13344,012,0
13344,013,140
13344,015,0.01
13344,017,5.48
13344,019,0.4
13344,020,2.1
13349,001,0
13349,005,2255
13349,008,75
13349,009,2270
13349,011,1.6
13349,012,0
13349,013,-88
13349,015,0.02
13349,017,15.6
13349,019,3.5
13349,020,2.6
13360,001,0
13360,005,165
13360,008,26
13360,009,165
13360,011,2.3
13360,012,0
13360,013,-88
13360,015,-99
13360,017,10.5
13360,019,2.4
13360,020,0.7
13369,001,-99
13369,005,24
13369,008,3
13369,009,122
13369,011,19.6
13369,012,0
13369,013,34
13369,015,0.04
13369,020,2.2
13384,001,0
13384,005,620
13384,008,7
13384,009,638
13384,011,3.1
13384,012,0
13384,013,55
13384,015,0.01
13384,020,1
13396,001,0
13396,005,4777
13396,008,170
13396,009,4777
13396,011,0.4
13396,012,0
13396,013,170
13396,015,0.01
13396,020,1.5
14013,001,0
14013,005,52
14013,008,4
14013,009,58
14013,011,10.5
14013,012,0
14013,013,-99
14013,015,0.02
14013,020,1.6
14025,001,2
14025,005,405
14025,008,15
14025,009,522
14025,011,7.2
14025,012,0
14025,013,3
14025,015,0.06
14025,020,1.7
14031,001,9
14031,005,607
14031,008,92
14031,009,649
14031,011,43.4
14031,012,0
14031,013,35
14031,015,0.4
14031,020,7.7
14037,001,4
14037,005,14
14037,008,11
14037,009,26
14037,011,1.9
14037,012,0
14037,013,6
14037,015,0.19
14037,020,3.4
14045,001,0
14045,005,39
14045,008,6
14045,009,39
14045,011,23.2
14045,012,0
14045,013,79
14045,015,0.1
14045,020,1.1
14096,001,0
14096,005,138
14096,008,9
14096,009,164
14096,011,7.2
14096,012,0
14096,013,2
14096,015,0.04
14096,020,1
14097,001,0
14097,005,138
14097,008,5
14097,009,164
14097,011,14.8
14097,012,0
14097,013,3
14097,015,0.02
14097,020,1
14105,008,23
14105,011,6.8
14105,012,0
14105,013,3
14105,015,0.02
14105,020,1.3
14109,001,0
14109,005,33
14109,008,13
14109,009,73
14109,011,15.4
14109,012,0
14109,013,-99
14109,015,0.12
14109,020,0.7
14124,001,6
14124,005,29
14124,008,21
14124,009,32
14124,011,9.1
14124,012,0
14124,013,33
14124,015,0.11
14124,020,1.6
14153,001,0
14153,005,-88
14153,008,14
14153,009,-88
14153,011,5.5
14153,012,0
14153,013,55
14153,015,-99
14153,020,0.7
14176,001,6
14176,005,17
14176,008,33
14176,009,49
14176,011,5.9
14176,012,0
14176,013,2
14176,015,0.03
14176,020,1.2
14183,001,-99
14183,005,45
14183,008,7
14183,009,88
14183,011,7.6
14183,012,0
14183,013,-99
14183,015,0.06
14183,020,1.5
14191,001,0
14191,005,15
14191,008,10
14191,009,17
14191,011,9.1
14191,012,0
14191,013,1
14191,015,0.05
14191,020,2
14193,001,0
14193,005,13
14193,008,8
14193,009,14
14193,011,7.3
14193,012,0
14193,013,1
14193,015,0.04
14193,020,1.1
14213,001,-99
14213,005,404
14213,008,13
14213,009,404
14213,011,8.8
14213,012,0
14213,013,-99
14213,015,0.1
14213,017,0.2
14213,019,1.1
14213,020,1.6
14231,001,31
14231,005,140
14231,008,38
14231,009,156
14231,011,38.4
14231,012,0
14231,013,3
14231,015,0.16
14231,020,6.5
14242,001,-99
14242,005,-88
14242,008,46
14242,009,12
14242,011,69.3
14242,012,0
14242,013,9
14242,015,0.39
14242,020,2
14244,001,0
14244,005,6
14244,008,25
14244,009,6
14244,011,4.6
14244,012,0
14244,013,22
14244,015,0.1
14244,020,2.5
14260,001,-99
14260,005,11
14260,008,16
14260,009,11
14260,011,6
14260,012,0
14260,013,18
14260,015,0.07
14260,020,1.1
14271,001,0
14271,005,-88
14271,008,7
14271,009,-99
14271,011,9.9
14271,012,0
14271,013,3
14271,015,-99
14271,020,0
14283,001,2
14283,005,5
14283,008,10
14283,009,704
14283,011,8.8
14283,012,0
14283,013,9
14283,015,-99
14283,020,0.1
14821,001,0
14821,005,0
14821,008,140
14821,009,0
14821,011,6
14821,012,0
14821,013,18
14821,015,1.23
14821,020,6.5
14829,001,0
14829,005,0
14829,008,37
14829,009,0
14829,011,13.1
14829,012,0
14829,013,500
14829,015,0.7
14829,020,5.4
14834,001,0
14834,005,0
14834,008,37
14834,009,0
14834,011,7.1
14834,012,0
14834,013,660
14834,015,0.54
