"MEAL","FOOD_CODE","AMOUNT","MODIFIER"
"COCOA","1064",12,
"HORLICKS","12097",12,
"HORLICKS","12108",12,
"WINE","17229",125,
"BEER","17211",192,
"BEER","17222",96,
"PORT","17236",25,
"PORT","17240",25,
"SPIRITS","17247",23,
"LOWCAL_FIZZY_DRINKS","a7001",200,
"FIZZY_DRINKS","17175",100,
"FIZZY_DRINKS","17179",100,
"FRUIT_JUICE","14271",60,
"FRUIT_JUICE","14283",60,
"FRUIT_SQUASH","17189",40,
"APPLES","14013",120,
"PEARS","14191",60,
"PEARS","14193",60,
"ORANGES","14176",120,
"GRAPEFRUIT","14105",80,
"BANANAS","14045",100,
"GRAPES","14109",50,
"MELONS","14153",180,
"PEACHES","14025",10,
"PEACHES","14183",10,
"PEACHES","14213",10,
"STRAWBERRIES","14124",20,
"STRAWBERRIES","14244",10,
"STRAWBERRIES","14260",10,
"TINNED_FRUIT","14096",60,
"TINNED_FRUIT","14097",60,
"DRIED_FRUIT","14031",10,
"DRIED_FRUIT","14231",9,
"DRIED_FRUIT","14242",6,
"CARROTS","13201",34,
"CARROTS","13204",30,
"SPINACH","13344",75,
"BROCCOLI","13171",42,
"BROCCOLI","13349",38,
"SPROUTS","13178",87,
"CABBAGE","13193",30,
"CABBAGE","13195",32,
"CABBAGE","13197",29,
"PEAS","13133",31,
"PEAS","13135",32,
"GREEN_BEANS","13065",26,
"GREEN_BEANS","13082",20,
"GREEN_BEANS","13113",24,
"MARROW","13231",36,
"MARROW","13275",36,
"CAULIFLOWER","13216",110,
"PARSNIPS","13313",32,
"PARSNIPS","13360",42,
"LEEKS","13264",76,
"ONIONS","13304",34,
"GARLIC","13244",5,
"MUSHROOMS","13285",45,
"PEPPERS","13318",13,
"PEPPERS","13320",13,
"BEANSPROUTS","13052",42,
"GREEN_SALAD","13221",14,
"GREEN_SALAD","13233",10,
"GREEN_SALAD","13266",11,
"WATERCRESS","13396",17,
"TOMATOES","13384",57,
"SWEETCORN","13369",43,
"BEETROOT","13166",48,
"COLESLAW","15077",20,
"COLESLAW","15078",20,
"COLESLAW","15079",20,
"AVOCADO","14037",70,
"BEANS","13043",42,
"BEANS","13045",42,
"BEANS","13046",42,
"LENTILS","13092",35,
"LENTILS","13142",35,
"TOFU","13119",50,
"TOFU","15314",6,
"TOFU","15330",33,
